outcomeId,outcomeName
46286594,Problem related to lifestyle
45772079,Retinopathy of prematurity stage 0
45770922,Open anterior occlusal relationship
45757504,Urethral intrinsic sphincter deficiency
45757370,Disproportion of reconstructed breast
44790844,Problem with artificial heart
44789003,Open wound of thumb with damage to nail
42538119,Transplanted heart valve present
42537744,Transplanted cornea present
42537740,Bladder stoma present
40481365,Opioid in blood specimen positive
37116419,Myopic choroidal neovascularization
36716521,Sequela of trachoma
36713918,Somatic dysfunction of lumbar region
36683375,Non-healing surgical wound
36675035,Prematurity of infant
4318718,Limitation of movement of temporomandibular joint
4309779,Intracranial space-occupying lesion
4309151,Complications of attempted introduction of embryo in embryo transfer
4264617,Foot-drop
4219138,Somatic dysfunction of rib
4216219,Bizarre personal appearance
4215568,Sensory disturbance in limb
4213540,Cervical somatic dysfunction
4205383,O/E - hearing
4201388,Gastrostomy present
4201387,Tracheostomy present
4193774,Flail elbow
4176310,Late effect of epidural hematoma due to trauma
4170145,Absence of lung
4168318,Genetic disorder carrier
4168222,"Intra-abdominal and pelvic swelling, mass and lump"
4166231,Genetic predisposition
4166126,"Localized swelling, mass and lump, trunk"
4155077,Complete disruption of pelvic ring
4153217,Patient condition resolved
4150397,Baby BW = 1.0-1.5kg
4149610,Birth weight 999 g or less
4147614,Impaired intestinal carbohydrate absorption
4129479,Normal uterine cervix
4126571,Fetal problem
4125590,Slurred speech
4118057,Fetal or neonatal effect of maternal oligohydramnios
4114976,Balanced rearrangement and structural marker
4114585,"Primary gonarthrosis, bilateral"
4101286,Sequelae of malnutrition and other nutritional deficiencies
4096540,Foreskin deficient
4094911,Pregnancy test equivocal
4094163,Polyarticular joint involvement
4093636,Sequelae of leprosy
4092879,Absent kidney
4088768,Absent nipple
4087800,Ptosis of eyebrow
4086512,Excess subcutaneous fat
4081461,Irregular eye movements
4067069,Callosity
4066505,Clicking hip
4056128,Sample organism cultured
4052226,Sequelae of injuries of lower limb
4051630,Malingering
4050690,Sequelae of open wound of upper limb
4045471,Autoimmune reaction mediated by cell-mediated immunity
4031170,Severe systemic illness tissue wasting
4028689,Electrocerebral silence
4022078,Discord with counselor
4022076,Patient dependence on care provider
4022071,Convalescence
4019971,Discord in school
4019836,Social exclusion
4008710,"Stenosis due to any device, implant AND/OR graft"
443274,Psychostimulant dependence
441417,Incoordination
440193,Wristdrop
438759,Descemet's membrane fold
438624,Complication of renal dialysis
438262,Chyluria
437448,Exhaustion due to excessive exertion
437369,Postmature infancy
437092,Physiological development failure
436426,Malleus mobility reduced
436233,Delayed milestone
436041,Leech infestation
435720,Adverse anesthesia outcome
434063,Jaw to cranial base anomaly
433681,Late effect of accident due to natural and environmental factors
433605,Ill-defined disease
433542,Precipitate labor
374358,Excess skin of eyelid
313601,Oxygen supply absent
259995,Foreign body in orifice
77364,Hypermobility of coccyx
