"targetId","comparatorId","outcomeIds","excludedCovariateConceptIds","subgroupId"
1007000011,1008000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1734104;1797513;1789276;1716721;1742253;1716903;1721543;923081",1
1007000011,1009000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1734104;1713332",1
1008000011,1009000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1797513;1789276;1716721;1742253;1716903;1721543;923081;1713332",1
1007000011,1010000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1734104;1777806",1
1008000011,1010000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1797513;1789276;1716721;1742253;1716903;1721543;923081;1777806",1
1009000011,1010000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1713332;1777806",1
1007000021,1008000021,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1734104;1797513;1789276;1716721;1742253;1716903;1721543;923081",2
1007000021,1009000021,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1734104;1713332",2
1008000021,1009000021,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1797513;1789276;1716721;1742253;1716903;1721543;923081;1713332",2
1007000021,1010000021,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1734104;1777806",2
1008000021,1010000021,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1797513;1789276;1716721;1742253;1716903;1721543;923081;1777806",2
1009000021,1010000021,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1713332;1777806",2
1007020021,1008020021,"154;201;193;185;153;183;161;160;188;164;180;187;159;192;151;177;191;178;182;184;152;176;155;190;162;186;179;189;156;163","1734104;1797513;1789276;1716721;1742253;1716903;1721543;923081",2002
1007020021,1009020021,"154;201;193;185;153;183;161;160;188;164;180;187;159;192;151;177;191;178;182;184;152;176;155;190;162;186;179;189;156;163","1734104;1713332",2002
1008020021,1009020021,"154;201;193;185;153;183;161;160;188;164;180;187;159;192;151;177;191;178;182;184;152;176;155;190;162;186;179;189;156;163","1797513;1789276;1716721;1742253;1716903;1721543;923081;1713332",2002
1007020021,1010020021,"154;201;193;185;153;183;161;160;188;164;180;187;159;192;151;177;191;178;182;184;152;176;155;190;162;186;179;189;156;163","1734104;1777806",2002
1008020021,1010020021,"154;201;193;185;153;183;161;160;188;164;180;187;159;192;151;177;191;178;182;184;152;176;155;190;162;186;179;189;156;163","1797513;1789276;1716721;1742253;1716903;1721543;923081;1777806",2002
1009020021,1010020021,"154;201;193;185;153;183;161;160;188;164;180;187;159;192;151;177;191;178;182;184;152;176;155;190;162;186;179;189;156;163","1713332;1777806",2002
1007000031,1008000031,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1734104;1797513;1789276;1716721;1742253;1716903;1721543;923081",3
1007000031,1009000031,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1734104;1713332",3
1008000031,1009000031,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1797513;1789276;1716721;1742253;1716903;1721543;923081;1713332",3
1007000031,1010000031,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1734104;1777806",3
1008000031,1010000031,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1797513;1789276;1716721;1742253;1716903;1721543;923081;1777806",3
1009000031,1010000031,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1713332;1777806",3
1064000011,1065000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1503297;1580747;40166035;40239216;43013884;19122137;43009089;43009051",1
1064000011,1066000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1503297;43526465;44785829;45774751;793293;43009020",1
1065000011,1066000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1580747;40166035;40239216;43013884;19122137;43009089;43009051;43526465;44785829;45774751;793293;43009020",1
1064000011,1067000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1503297;40170911;1583722;45774435;44816332;793143;44506754",1
1065000011,1067000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1580747;40166035;40239216;43013884;19122137;43009089;43009051;40170911;1583722;45774435;44816332;793143;44506754",1
1066000011,1067000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","43526465;44785829;45774751;793293;43009020;40170911;1583722;45774435;44816332;793143;44506754",1
1064000021,1065000021,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1503297;1580747;40166035;40239216;43013884;19122137;43009089;43009051",2
1064000021,1066000021,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1503297;43526465;44785829;45774751;793293;43009020",2
1065000021,1066000021,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1580747;40166035;40239216;43013884;19122137;43009089;43009051;43526465;44785829;45774751;793293;43009020",2
1064000021,1067000021,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1503297;40170911;1583722;45774435;44816332;793143;44506754",2
1065000021,1067000021,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1580747;40166035;40239216;43013884;19122137;43009089;43009051;40170911;1583722;45774435;44816332;793143;44506754",2
1066000021,1067000021,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","43526465;44785829;45774751;793293;43009020;40170911;1583722;45774435;44816332;793143;44506754",2
1064020021,1065020021,"154;201;193;185;153;183;161;160;188;164;180;187;159;192;151;177;191;178;182;184;152;176;155;190;162;186;179;189;156;163","1503297;1580747;40166035;40239216;43013884;19122137;43009089;43009051",2002
1064020021,1066020021,"154;201;193;185;153;183;161;160;188;164;180;187;159;192;151;177;191;178;182;184;152;176;155;190;162;186;179;189;156;163","1503297;43526465;44785829;45774751;793293;43009020",2002
1065020021,1066020021,"154;201;193;185;153;183;161;160;188;164;180;187;159;192;151;177;191;178;182;184;152;176;155;190;162;186;179;189;156;163","1580747;40166035;40239216;43013884;19122137;43009089;43009051;43526465;44785829;45774751;793293;43009020",2002
1064020021,1067020021,"154;201;193;185;153;183;161;160;188;164;180;187;159;192;151;177;191;178;182;184;152;176;155;190;162;186;179;189;156;163","1503297;40170911;1583722;45774435;44816332;793143;44506754",2002
1065020021,1067020021,"154;201;193;185;153;183;161;160;188;164;180;187;159;192;151;177;191;178;182;184;152;176;155;190;162;186;179;189;156;163","1580747;40166035;40239216;43013884;19122137;43009089;43009051;40170911;1583722;45774435;44816332;793143;44506754",2002
1066020021,1067020021,"154;201;193;185;153;183;161;160;188;164;180;187;159;192;151;177;191;178;182;184;152;176;155;190;162;186;179;189;156;163","43526465;44785829;45774751;793293;43009020;40170911;1583722;45774435;44816332;793143;44506754",2002
1064000031,1065000031,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1503297;1580747;40166035;40239216;43013884;19122137;43009089;43009051",3
1064000031,1066000031,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1503297;43526465;44785829;45774751;793293;43009020",3
1065000031,1066000031,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1580747;40166035;40239216;43013884;19122137;43009089;43009051;43526465;44785829;45774751;793293;43009020",3
1064000031,1067000031,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1503297;40170911;1583722;45774435;44816332;793143;44506754",3
1065000031,1067000031,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1580747;40166035;40239216;43013884;19122137;43009089;43009051;40170911;1583722;45774435;44816332;793143;44506754",3
1066000031,1067000031,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","43526465;44785829;45774751;793293;43009020;40170911;1583722;45774435;44816332;793143;44506754",3
1035000011,1036000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1310149;1367571",1
1035000011,1037000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1310149;1301025",1
1036000011,1037000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1367571;1301025",1
1035000011,1038000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1310149;45892847",1
1036000011,1038000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1367571;45892847",1
1037000011,1038000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1301025;45892847",1
1035000011,1039000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1310149;40228152;45775372",1
1038000011,1039000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","45892847;40228152;45775372",1
1036000011,1039000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1367571;40228152;45775372",1
1037000011,1039000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1301025;40228152;45775372",1
1035000011,1040000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1310149;40241331",1
1037000011,1040000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1301025;40241331",1
1038000011,1040000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","45892847;40241331",1
1036000011,1040000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1367571;40241331",1
1039000011,1040000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","40228152;45775372;40241331",1
1035000011,1041000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1310149;19024063",1
1037000011,1041000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","1301025;19024063",1
1038000011,1041000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","45892847;19024063",1
1040000011,1041000011,"154;201;193;185;153;161;160;188;164;202;180;187;159;192;177;191;178;182;184;152;155;190;162;186;179;189;156;163","40241331;19024063",1
